Detected bifurcation points (r, period):
r ≈ 2.5000 → period: 1
r ≈ 2.9892 → period: 2
r ≈ 3.4459 → period: 4
r ≈ 3.5427 → period: 8
r ≈ 3.5639 → period: 16
r ≈ 3.5686 → period: 32
r ≈ 3.5696 → period: 64
r ≈ 3.5705 → period: 48
r ≈ 3.5716 → period: 40
r ≈ 3.5726 → period: 24
r ≈ 3.5727 → period: 48
r ≈ 3.5728 → period: 96
r ≈ 3.5735 → period: 80
r ≈ 3.5741 → period: 64
r ≈ 3.5776 → period: 20
r ≈ 3.5777 → period: 40
r ≈ 3.5777 → period: 80
r ≈ 3.5793 → period: 56
r ≈ 3.5821 → period: 12
r ≈ 3.5828 → period: 24
r ≈ 3.5832 → period: 48
r ≈ 3.5833 → period: 96
r ≈ 3.5863 → period: 20
r ≈ 3.5894 → period: 16
r ≈ 3.5942 → period: 18
r ≈ 3.5955 → period: 22
r ≈ 3.5972 → period: 14
r ≈ 3.6053 → period: 10
r ≈ 3.6059 → period: 20
r ≈ 3.6063 → period: 40
r ≈ 3.6105 → period: 36
r ≈ 3.6136 → period: 14
r ≈ 3.6137 → period: 28
r ≈ 3.6266 → period: 6
r ≈ 3.6303 → period: 12
r ≈ 3.6322 → period: 24
r ≈ 3.6326 → period: 48
r ≈ 3.6340 → period: 18
r ≈ 3.6470 → period: 10
r ≈ 3.6472 → period: 20
r ≈ 3.6473 → period: 40
r ≈ 3.6590 → period: 56
r ≈ 3.6622 → period: 8
r ≈ 3.6625 → period: 16
r ≈ 3.6626 → period: 32
r ≈ 3.6872 → period: 9
r ≈ 3.6873 → period: 18
r ≈ 3.7017 → period: 7
r ≈ 3.7022 → period: 14
r ≈ 3.7025 → period: 28
r ≈ 3.7172 → period: 9
r ≈ 3.7235 → period: 11
r ≈ 3.7382 → period: 5
r ≈ 3.7411 → period: 10
r ≈ 3.7426 → period: 20
r ≈ 3.7430 → period: 40
r ≈ 3.7438 → period: 35
r ≈ 3.7440 → period: 15
r ≈ 3.7613 → period: 9
r ≈ 3.7742 → period: 7
r ≈ 3.7745 → period: 14
r ≈ 3.7746 → period: 28
r ≈ 3.7747 → period: 42
r ≈ 3.7817 → period: 11
r ≈ 3.7858 → period: 9
r ≈ 3.8008 → period: 8
r ≈ 3.8009 → period: 64
r ≈ 3.8285 → period: 3
r ≈ 3.8412 → period: 6
r ≈ 3.8475 → period: 12
r ≈ 3.8490 → period: 24
r ≈ 3.8494 → period: 48
r ≈ 3.8500 → period: 60
r ≈ 3.8504 → period: 18
r ≈ 3.8521 → period: 15
r ≈ 3.8527 → period: 42
r ≈ 3.8537 → period: 9
r ≈ 3.8539 → period: 18
r ≈ 3.8540 → period: 36
r ≈ 3.8540 → period: 90
r ≈ 3.8560 → period: 12
r ≈ 3.8705 → period: 8
r ≈ 3.8861 → period: 7
r ≈ 3.8880 → period: 20
r ≈ 3.8995 → period: 16
r ≈ 3.9056 → period: 5
r ≈ 3.9062 → period: 10
r ≈ 3.9064 → period: 20
r ≈ 3.9222 → period: 14
r ≈ 3.9375 → period: 6
r ≈ 3.9376 → period: 12
r ≈ 3.9602 → period: 4
r ≈ 3.9608 → period: 8
r ≈ 3.9611 → period: 16
r ≈ 3.9778 → period: 24
r ≈ 3.9903 → period: 60
Chaos onset detected at r ≈ 4.0008
